"A/C" "A/G" "A/T" "C/G" "C/T" "G/T"
"0" 63745 63745 63745 33271 33271 28599
"1" 308 776 709 270 1088 508
"2" 136 308 307 134 502 223
"3" 86 185 179 70 287 138
"4" 54 123 132 49 199 93
"5" 41 98 102 40 140 68
"6" 30 72 77 39 123 44
"7" 33 59 76 21 106 51
"8" 20 46 51 21 74 29
"9" 20 50 51 16 72 26
"10" 13 44 39 10 53 29
"11" 18 33 27 12 56 23
"12" 9 34 27 10 50 27
"13" 18 29 29 9 51 21
"14" 18 32 23 8 44 15
"15" 12 22 26 14 45 16
"16" 14 23 28 7 39 22
"17" 17 28 15 11 42 13
"18" 12 18 21 5 37 16
"19" 8 21 19 9 39 9
"20" 14 16 24 3 31 11
"21" 8 16 19 9 41 13
"22" 8 18 19 6 26 5
"23" 5 20 16 7 29 11
"24" 13 20 17 7 31 6
"25" 7 14 12 4 24 11
"26" 5 14 16 6 21 9
"27" 11 17 16 7 20 11
"28" 8 14 14 5 26 7
"29" 9 10 15 2 22 7
"30" 5 14 14 2 23 11
"31" 5 11 19 6 18 7
"32" 9 13 7 5 30 7
"33" 8 15 13 4 18 7
"34" 11 5 13 2 16 9
"35" 4 14 13 5 14 7
"36" 3 9 6 1 18 10
"37" 6 14 13 3 16 8
"38" 6 11 3 4 16 7
"39" 10 9 8 3 17 7
"40" 9 13 16 4 11 6
"41" 3 12 13 5 15 8
"42" 5 11 10 3 20 4
"43" 3 11 4 3 12 9
"44" 7 10 6 5 11 9
"45" 4 9 11 0 12 6
"46" 5 19 10 0 16 3
"47" 5 9 8 4 12 8
"48" 1 13 6 4 17 3
"49" 2 12 8 4 6 5
"50" 7 11 8 2 13 3
"51" 4 8 9 7 13 5
"52" 2 10 7 0 14 6
"53" 3 10 11 3 17 3
"54" 3 12 11 2 12 5
"55" 4 10 7 2 15 2
"56" 1 7 11 1 14 2
"57" 5 10 7 0 11 4
"58" 5 7 10 2 15 4
"59" 8 10 5 2 13 6
"60" 5 10 15 1 12 8
"61" 4 6 5 3 12 5
"62" 3 4 2 5 12 2
"63" 4 6 16 3 17 2
"64" 3 11 7 2 9 3
"65" 3 11 8 5 6 1
"66" 6 8 4 2 12 2
"67" 3 15 7 2 7 6
"68" 2 8 9 5 13 5
"69" 5 6 5 2 8 6
"70" 9 9 6 6 9 3
"71" 3 7 5 2 8 4
"72" 6 7 6 3 14 3
"73" 3 7 10 2 12 5
"74" 2 11 8 4 8 4
"75" 3 10 5 3 10 5
"76" 3 8 6 2 10 5
"77" 3 9 7 5 13 3
"78" 3 5 6 1 3 5
"79" 4 4 9 6 12 3
"80" 2 7 5 7 8 2
"81" 2 4 12 4 13 2
"82" 4 9 8 2 10 4
"83" 2 3 6 2 7 3
"84" 5 4 6 2 14 3
"85" 5 11 6 1 5 4
"86" 2 8 6 3 9 1
"87" 4 9 7 4 3 1
"88" 4 9 11 0 12 5
"89" 2 9 11 2 15 4
"90" 4 5 7 1 8 1
"91" 4 12 9 2 8 2
"92" 5 7 5 1 11 3
"93" 0 13 7 6 12 3
"94" 7 4 2 4 3 3
"95" 5 6 2 2 11 11
"96" 4 2 4 5 7 6
"97" 5 5 3 3 5 3
"98" 6 8 7 2 9 2
"99" 6 11 11 3 8 6
"100" 5 12 11 2 4 0
"101" 1 10 5 3 6 4
"102" 3 6 9 1 11 3
"103" 5 8 6 2 8 2
"104" 0 6 10 2 5 4
"105" 6 5 8 4 9 2
"106" 4 5 4 3 10 3
"107" 2 9 9 1 6 3
"108" 1 9 9 0 9 6
"109" 4 14 12 2 6 3
"110" 4 12 6 3 10 7
"111" 2 7 6 2 12 2
"112" 9 10 8 2 6 7
"113" 3 10 7 1 10 1
"114" 6 12 5 4 12 3
"115" 3 7 8 4 9 2
"116" 4 12 7 2 7 2
